"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"HSF5",0.342883152777777,8.03055260416667,0.762513079769223,0.459201280888816,0.660672232805821,-5.68130663975701,"Stable"
"SEMG1",0.335309097222222,4.00280507638889,0.762407813193607,0.459261965053188,0.660717987079852,-5.6813838101094,"Stable"
"INSRR",0.230216145833334,5.34418985763889,0.762201255433635,0.459381056231144,0.660847757662159,-5.681535208306,"Stable"
"RBAKDN",0.514901340277779,5.38240664236111,0.762104209398824,0.459437014936029,0.660853608809024,-5.68160632610258,"Stable"
"DLG3-AS1",0.498797958333333,3.50224204861111,0.762094002624402,0.459442900616311,0.660853608809024,-5.68161380540701,"Stable"
"ATP13A3",0.373430847222222,10.0492233402778,0.761815250206289,0.459603659901651,0.661043277202777,-5.68181803394085,"Stable"
"SLC23A2",-0.241809347222222,3.85253645138889,-0.76153472055984,0.459765479654166,0.661234446911147,-5.68202349593014,"Stable"
"TENM1",-0.372422888888891,5.82078090277778,-0.761406890470656,0.459839228538777,0.66129467651708,-5.6821170967962,"Stable"
"ATP6V1E1",-0.393067930555558,9.43681013194444,-0.761361922332093,0.459865173720655,0.66129467651708,-5.68215002036028,"Stable"
"AMELY",0.175515034722222,3.85663535069444,0.761169584308626,0.459976156958041,0.661343695356571,-5.68229082127868,"Stable"
"ODAM",-0.277846326388891,5.76063463541667,-0.761160803476936,0.459981224089303,0.661343695356571,-5.68229724850779,"Stable"
"RP11-66N11.7",0.253478749999999,3.75925588888889,0.76115254244496,0.459985991292989,0.661343695356571,-5.68230329520203,"Stable"
"C1orf210",0.303842381944444,3.56580914236111,0.761074639166351,0.460030948551237,0.661365553278887,-5.68236031387031,"Stable"
"PMPCB",-0.413199125,6.34127117361111,-0.761026005519402,0.460059015969878,0.661365553278887,-5.68239590692947,"Stable"
"ADGB",0.195470888888889,4.63405127777778,0.760785789475873,0.46019766500027,0.661523299267701,-5.68257168126941,"Stable"
"XPNPEP2",-0.250758555555555,5.64904426388889,-0.760494354991845,0.460365911596268,0.661723568562754,-5.68278486609776,"Stable"
"XRN1",-0.574106125000003,7.07245852777778,-0.760409472820804,0.460414921729475,0.661752434624495,-5.68284694357259,"Stable"
"ZNF430",-0.258807055555553,8.06998541666667,-0.760190466991153,0.460541388606834,0.661892618318147,-5.68300708151597,"Stable"
"NNT",-0.593134458333333,7.45893946527778,-0.759888691731455,0.460715686989743,0.662101523782973,-5.68322767200783,"Stable"
"NCKAP5",0.540932569444445,6.68467815972222,0.759765953656019,0.46078658943959,0.662137354152229,-5.68331736779449,"Stable"
"LOC100506351",0.362610513888889,4.03532170138889,0.759745322100368,0.460798508397599,0.662137354152229,-5.68333244383891,"Stable"
"ARL5C",0.432203548611111,4.59879043402778,0.759610053583439,0.460876658500258,0.662208054761127,-5.68343127902744,"Stable"
"DDI2",-0.545007944444446,4.75802923611111,-0.759491850075392,0.460944956233038,0.662224665179464,-5.68351763239266,"Stable"
"TMX2",-0.37335636111111,9.12236861111111,-0.759461752914817,0.460962347317274,0.662224665179464,-5.68353961786628,"Stable"
"CMTM2",0.28601723611111,6.52501142361111,0.759439745440912,0.46097506418595,0.662224665179464,-5.68355569345669,"Stable"
"GIPC1",-0.639436055555556,6.87725472222222,-0.759362094503901,0.461019936000514,0.662247538835024,-5.68361241101081,"Stable"
"LLGL1",-0.228194819444445,3.31876260416667,-0.75919746510314,0.461115078708699,0.662342618393834,-5.68373264163747,"Stable"
"PRMT5-AS1",0.31410186111111,5.41463676388889,0.75890070331226,0.461286614401458,0.662511131406331,-5.68394931001717,"Stable"
"SLC4A11",-0.451737805555556,7.22204977777778,-0.758847433116863,0.461317410115312,0.662511131406331,-5.68398819488747,"Stable"
"CDH23",0.608883027777775,5.858847,0.758838874120932,0.461322358224891,0.662511131406331,-5.68399444234158,"Stable"
"CCL16",0.513569236111111,4.9067304375,0.758794107165908,0.461348239347039,0.662511131406331,-5.68402711796749,"Stable"
