name,GSM1620822,GSM1620823,GSM1620824,GSM1620819,GSM1620820,GSM1620821,GSM1620912,GSM1620913,GSM1620914,GSM1620915,GSM1620916,GSM1620917
RUNDC3B,6.169042,5.773723,5.903834,6.642982,6.143221,6.624446,6.350655,5.508476,8.623643,4.720772,4.578928,7.189583
LONRF1,7.33079,7.628116,8.096602,7.940378,8.063386,8.581859,8.547233,5.699421,8.867312,7.266491,7.976965,4.785802
LUZP2,3.922403,4.901864,4.179419,4.105089,5.249518,4.369671,7.913293,5.97631,5.402112,4.509459,4.798832,5.758752
SEMA3D,4.414494,4.576524,4.433673,4.321874,4.100165,4.532365,5.666449,5.77671,5.314832,5.126665,4.812323,5.877709
RP11-414H17.5,5.517917,5.541249,5.700156,5.039038,5.547501,5.391706,4.853728,5.751097,5.768126,5.553967,5.283016,6.238487
EFR3B,4.403813,4.794773,4.365798,4.51451,4.445576,4.866636,5.358145,7.726947,5.212952,5.154818,4.787905,5.041236
MYH15,4.122206,3.76261,3.901468,4.682213,4.318315,4.327266,5.285538,7.261945,5.166965,4.583926,4.190798,4.885771
CTB-176F20.3,4.421674,4.033222,4.491938,4.48828,4.462461,4.181222,4.622751,4.229513,6.057884,4.768854,3.965522,5.17882
CCDC88C,9.243646,8.832018,8.736747,8.757937,8.194196,8.925836,5.808147,6.587343,6.862464,10.06433,7.816668,4.787226
AK291611,6.665517,6.176053,6.44577,6.428717,5.381638,5.861532,7.083194,7.188253,5.596802,5.895009,5.706304,5.808154
BTBD18,6.152133,6.289022,6.547887,5.712321,5.913994,7.271672,5.482216,5.980396,4.895079,6.319924,8.255879,4.661824
GIMAP1-GIMAP5,5.710684,6.737032,5.649422,6.243286,6.139715,4.534735,6.497263,4.530007,3.134654,7.990602,4.978206,8.550449
PELP1,7.906725,8.358091,8.429766,8.454707,8.038723,7.929342,6.755299,6.961003,6.480451,7.121387,8.940988,8.147227
TDRD12,5.271712,6.678974,6.968168,7.436564,5.984241,6.788497,6.086529,7.696137,5.305832,6.605901,8.498142,7.731127
ZNF37BP,7.814535,7.775933,7.942133,8.171106,7.726809,8.686308,7.564118,6.667205,4.524442,9.018512,9.065149,5.435831
KIAA1614,6.802971,6.662282,6.311299,6.342485,6.754503,6.373806,7.094238,6.076975,7.554836,6.758086,6.5895,7.252134
MED27,6.635974,7.029175,7.334068,7.021407,7.584603,7.07891,6.331608,5.990976,6.925013,5.28193,7.159953,6.070786
IGLV1-44,12.892222,13.337428,13.108438,13.386685,13.354517,13.026933,5.22714,7.626858,12.946395,13.108601,12.59396,12.464138
GGCT,9.725235,8.311798,8.278399,9.119787,8.795706,8.334431,7.134463,7.70668,8.06716,9.109281,8.638934,8.484847
SPG21,7.338334,7.219781,6.792912,6.758483,7.831182,7.200189,4.618604,5.979348,9.026538,7.325351,7.086863,7.79839
PRSS3P2,5.94113,5.743181,5.450743,5.594403,6.105223,5.767466,4.770359,8.195903,6.747919,6.552602,6.521123,6.547894
GPR98,2.226317,2.695627,2.870124,2.613035,2.193852,2.809334,4.872766,3.262361,3.193975,2.935136,2.217436,2.632256
PMS2P8,8.670106,8.731622,8.494108,8.555656,8.674862,8.593784,7.367201,7.558432,9.807422,8.263684,8.491453,7.084061
STOML2,8.762709,8.827356,8.750992,8.85744,8.826613,8.694473,8.281537,6.780465,6.909745,8.17179,8.525178,8.753159
EXOC6B,3.089655,3.154208,2.992012,3.834035,2.328919,3.471526,2.446589,4.700024,3.839859,2.929787,3.630754,4.665021
ZFR2,4.552101,4.689894,5.564546,4.811363,4.892634,5.233122,5.633458,7.114358,5.336666,5.379391,5.323502,5.233413
IHH,6.131623,6.156975,5.972294,6.021697,6.061937,6.005254,5.830784,4.899934,6.40183,6.561722,5.805474,7.177871
LOC100131510,5.293383,5.266147,5.935626,6.814815,6.049017,4.970406,5.768296,6.706922,5.089578,4.893647,4.18498,4.965777
RP11-680F8.4,4.995405,4.635389,4.635389,3.729254,4.150549,5.539494,5.587504,6.059065,6.982316,4.267652,4.009656,4.298587
GK2,3.275737,3.585953,3.25107,3.477745,3.068873,3.304294,5.005274,5.082557,4.803139,4.017394,3.685493,5.630621
ACSM1,5.429424,5.39359,6.033384,5.128922,5.383201,5.377777,6.131232,5.703719,5.845205,5.658534,5.49297,6.018691
AJ011981,5.102933,6.208552,5.943788,5.511293,6.268114,5.917957,6.222662,5.527177,6.445388,5.652495,6.808308,5.521252
BEX4,6.607685,6.789187,6.016803,6.082773,4.726009,6.845665,5.835051,5.495368,3.862342,5.742894,7.646375,4.837918
